French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
corps,body
endroit,place
façon,way
écoute,listen
trouve,find
perdu,lost
main,hand
première,first
pouvoir,power
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
